x,y,yaw,0.266,2.151,0.002
-4512.565,1739.865,-1.443,-104.168,8.741,0.041
-4514.285,1739.675,-1.44,-106.548,5.5,0.061
-4515.97,1739.858,-1.44,-108.233,6.569,0.055
-4517.233,1740.004,-1.439,-105.317,7.107,0.05
-4518.916,1739.952,-1.441,-107.146,5.526,0.031
-4520.464,1739.854,-1.443,-107.336,3.712,0.007
-4521.94,1739.85,-1.444,-106.745,3.123,-0.01
-4523.35,1739.767,-1.447,-105.556,1.804,-0.034
-4524.378,1739.691,-1.449,-100.621,0.761,-0.052
-4525.81,1739.699,-1.451,-100.558,0.729,-0.063
-4527.396,1739.873,-1.452,-102.093,2.419,-0.057
-4528.932,1739.921,-1.453,-102.892,2.551,-0.057
-4530.565,1739.988,-1.455,-104.575,2.871,-0.071
-4532.04,1740.109,-1.456,-104.383,3.688,-0.071
-4533.594,1740.341,-1.456,-105.031,5.538,-0.063
-4534.749,1740.532,-1.457,-101.474,6.692,-0.057
-4536.288,1740.518,-1.459,-102.391,5.565,-0.071
-4537.861,1740.562,-1.46,-103.531,5.191,-0.073
-4539.319,1740.603,-1.462,-103.31,4.851,-0.079
-4540.58,1740.961,-1.465,-101.097,7.828,-0.096
-4542.187,1740.956,-1.468,-102.768,6.62,-0.104
-4543.764,1741.31,-1.471,-103.897,9.293,-0.118
-4545.266,1741.653,-1.475,-104.077,11.457,-0.143
-4546.439,1741.74,-1.479,-100.85,10.672,-0.158
-4548.021,1742.157,-1.482,-102.3,13.393,-0.166
-4549.379,1742.338,-1.485,-101.239,13.288,-0.163
-4551.006,1742.814,-1.488,-103.095,16.23,-0.165
-4552.4,1743.228,-1.491,-102.291,18.106,-0.169
-4553.822,1743.663,-1.494,-101.884,19.922,-0.172
-4555.164,1744.075,-1.495,-100.714,21.238,-0.161
-4556.649,1744.31,-1.497,-101.192,20.528,-0.16
-4557.981,1744.599,-1.499,-100.022,20.484,-0.152
-4559.145,1744.979,-1.498,-97.294,21.385,-0.12
-4559.976,1745.269,-1.497,-91.539,21.229,-0.096
-4561.352,1745.602,-1.498,-92.241,21.532,-0.085
-4562.795,1745.78,-1.498,-93.531,20.196,-0.078
-4564.122,1746.09,-1.5,-93.441,20.423,-0.082
-4565.444,1746.501,-1.501,-93.304,21.651,-0.08
-4566.602,1746.822,-1.503,-91.502,21.771,-0.085
-4567.599,1747.095,-1.504,-88.308,21.379,-0.085
-4568.772,1747.514,-1.505,-87.399,22.547,-0.084
-4569.791,1748.148,-1.506,-85.035,25.752,-0.082
-4570.854,1748.566,-1.507,-83.476,26.269,-0.08
-4571.623,1748.88,-1.509,-79.117,25.641,-0.078
